Data / Time,CPU Usage %,Memory Available GB
2025-03-03 17:58:22.848801,2.2,46.33330536
2025-03-03 17:58:33.083291,2.8,46.34216309
2025-03-03 17:58:43.323083,3.6,46.32281494
2025-03-03 17:58:53.566722,3.5,46.3149147
2025-03-03 17:59:03.807181,4.6,46.17877579
2025-03-03 17:59:13.974122,8.8,46.07230377
2025-03-03 17:59:24.211542,3,46.19387436
2025-03-03 17:59:34.534247,3.8,46.16017151
2025-03-03 17:59:44.761751,3.8,46.19718552
2025-03-03 17:59:55.014254,2.1,46.27158356
2025-03-03 18:00:05.306683,3.1,46.27984238
2025-03-03 18:00:15.596896,4.9,46.26494598
2025-03-03 18:00:25.786751,4.4,46.24240112
2025-03-03 18:00:35.949336,4.6,46.09899902
2025-03-03 18:00:46.133180,5.8,46.1268158
2025-03-03 18:00:56.362043,4.9,46.16547775
2025-03-03 18:01:06.685535,4.5,46.14246368
2025-03-03 18:01:16.924645,3.7,46.41222
2025-03-03 18:01:27.083879,3.4,46.38847351
2025-03-03 18:01:37.305958,4.9,46.41610336
2025-03-03 18:01:47.559376,8.6,46.3791275
2025-03-03 18:01:57.925534,2.7,46.54463959
2025-03-03 18:02:08.235558,4,46.43486023
2025-03-03 18:02:18.485460,2.4,46.5497551
2025-03-03 18:02:28.801071,3.1,46.471241
2025-03-03 18:02:39.055573,7.3,46.35711288
2025-03-03 18:02:49.373769,3.4,46.4103775
2025-03-03 18:02:59.646631,1.7,46.53795242
2025-03-03 18:03:09.889905,6.5,46.5500946
2025-03-03 18:03:20.116179,4.1,46.52172852
2025-03-03 18:03:30.363193,5.3,46.38739395
2025-03-03 18:03:40.598772,4.2,46.48974228
2025-03-03 18:03:50.961793,2.6,46.56092834
2025-03-03 18:04:01.184990,4.4,46.48018646
2025-03-03 18:04:11.523640,4.3,46.5147438
2025-03-03 18:04:21.891099,5.9,46.52629471
2025-03-03 18:04:32.107363,5.7,46.38177109
2025-03-03 18:04:42.347702,4.4,46.42695999
2025-03-03 18:04:52.597170,4.1,46.47265244
2025-03-03 18:05:03.033958,3.2,46.51940155
2025-03-03 18:05:13.385518,2.6,46.51948166
2025-03-03 18:05:23.822398,4.9,46.42429352
2025-03-03 18:05:34.139747,3.7,46.43254471
2025-03-03 18:05:44.636573,6.4,46.4154129
2025-03-03 18:05:54.962152,4.7,46.52175903
2025-03-03 18:06:05.402354,6.4,46.48215103
2025-03-03 18:06:15.763317,12.3,46.38793564
2025-03-03 18:06:25.980670,6.7,46.43923187
2025-03-03 18:06:36.321822,2.2,46.49332428
2025-03-03 18:06:46.664931,2.6,46.51794052
2025-03-03 18:06:57.040191,4.7,46.39952087
2025-03-03 18:07:08.383585,4.3,46.49671173
2025-03-03 18:07:18.924228,5.8,46.42433929
2025-03-03 18:07:29.169682,6.6,46.46082306
2025-03-03 18:07:39.410577,3,46.46004868
2025-03-03 18:07:49.655272,10.8,46.22612381
2025-03-03 18:07:59.883215,9.3,46.39228821
2025-03-03 18:08:10.064803,11,46.35980988
2025-03-03 18:08:20.262619,6.3,46.31156158
2025-03-03 18:08:30.502776,7.9,46.30127335
2025-03-03 18:08:40.744516,5.7,46.35987473
2025-03-03 18:08:50.991880,10.1,46.25955963
2025-03-03 18:09:01.224786,3.3,46.33699799
2025-03-03 18:09:11.472808,4.1,46.22332001
2025-03-03 18:09:21.703768,3.6,46.32348251
2025-03-03 18:09:31.977105,4.9,46.2106514
2025-03-03 18:09:42.185697,2.1,46.26062775
2025-03-03 18:09:52.377518,1.7,46.30826569
2025-03-03 18:10:02.564493,1.7,46.31618118
2025-03-03 18:10:12.803966,8.6,46.0436821
2025-03-03 18:10:23.148944,8.1,45.72867203
2025-03-03 18:10:33.387576,5.3,45.83456039
2025-03-03 18:10:43.737313,4.4,46.09275818
2025-03-03 18:10:53.978162,4.2,46.04004288
2025-03-03 18:11:04.137452,4.3,46.04470444
2025-03-03 18:11:14.347721,3.4,46.05752945
2025-03-03 18:11:24.589772,7.2,45.95669174
2025-03-03 18:11:34.837403,3.1,46.07256699
2025-03-03 18:11:45.171871,2,46.12403488
2025-03-03 18:11:55.526761,1.7,46.16080093
2025-03-03 18:12:05.751912,1.6,46.15461731
2025-03-03 18:12:16.003544,4.5,46.04154968
